ID	FGM	FGA	FGK	SPK	FGP	FSN	FGT	FGG	FSG	CGB	DGR	DIN	FCN	ARR	GCN	CSE	EAL	CAL	LKA	LKO	LKP	GAD	GFL	ALP	PSC	RHM	FRC	NRC	NUP	PNP	NUD	APO
Ar	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	-9	0	-9	0	1	0	0	1	1	0
Heb	1	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	-9	0	-9	0	1	0	0	1	1	0
Hu	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	-9	-9	0	0	0	0	-9	0	0	1	1	0	-9	0	1	-9
KhB	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	-9	-9	0	0	0	0	-9	0	0	1	1	1	-9	0	1	-9
Est	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-9	-9	0	0	0	1	0	0	0	1	0
Fin	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	-9	-9	0	0	0	1	1	0	0	1	-9
mMB	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	-9	0	0	0	0	-9	0	0	0	1	1	1	-9	1	-9
UdB	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	-9	0	0	0	1	-9	0	0	0	1	1	1	-9	1	-9
Yu	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	-9	0	0	-9	1	-9	1	-9
EvA	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	-9	0	0	0	0	-9	1	1	0	0	-9	1	-9	1	-9
EvB	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	-9	0	0	0	0	-9	1	1	0	0	-9	1	-9	1	-9
Ek	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	-9	0	0	0	0	-9	1	1	0	0	-9	1	-9	1	-9
Ya	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	-9	0	0	0	0	-9	0	0	1	0	-9	1	-9	1	-9
Uz	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	-9	0	0	0	0	-9	0	-9	0	0	-9	1	-9	1	-9
Kaz	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	-9	0	0	0	0	-9	0	0	0	0	-9	1	-9	1	-9
Kyr	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	-9	0	0	0	0	-9	0	0	0	0	-9	1	-9	1	-9
Tur	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	-9	0	0	0	0	-9	0	0	0	0	-9	1	-9	1	-9
Bur	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	-9	1	-9	1	-9
cB	1	1	1	0	1	0	0	0	0	0	0	-9	0	0	0	1	0	0	0	1	0	1	0	0	-9	0	1	1	1	-9	0	0
wB	1	1	1	0	1	0	0	0	1	0	0	-9	0	0	0	1	0	0	0	1	0	1	0	0	-9	0	1	1	1	-9	0	0
Wo	1	1	0	-9	1	0	1	1	0	1	1	-9	0	1	1	1	-9	-9	1	-9	1	-9	-9	0	-9	0	1	0	0	1	0	0
Mal	1	0	1	0	1	0	0	0	0	1	0	-9	0	0	1	1	0	-9	0	0	0	0	-9	0	-9	0	1	1	0	1	1	-9
Arc	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	-9	0	0	0	0	-9	0	0	0	0	-9	1	-9	1	0
Lak	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	-9	0	0	0	0	-9	0	0	0	0	-9	1	-9	1	0
