ID  FGM	FGA	FGK	SPK	FGP	FSP	FGN	SCO	GDP	FSN	FNN	FGT	FGG	FSG	CGB	FPC	DGR	DGP	CGR	NWD	FVP	DGD	DPQ	DCN	DNN	DIN	FGC	FGE	FCN	HMP	ARR	GCN	GFN	GFP	GP3	GEI	CSE	EAL	CAL	LKA	LKO	LKP	DMP	DMG	GUN	GAD	GFL	PGL	GGH	GSI	ALP	GIT	UST	GPC	PSC	PCA	PMN	RHM	FRC	NRC	DOR	FFP	NUP	PNP	NUD	NUC	NM1	NM2	NUA	NGL	EAF	ACM	DSN	DSA	DSS	DOC	NEX	PEX	FEX	PDC	PCL	APO	WAP	AGE	OPK	TSP	TDP	TDC	TSA	TAR	TLC	TND	TDA	TNL
Polish	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	0	0	-9	-9	-9	-9	0	-9	-9	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	0	1	-9	-9	0	0	0	-9	0	1	-9	-9	0	1	0	-9	-9	0	1	1	1	1	1	1	0	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	0	1	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1
Russian	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	0	0	-9	-9	-9	-9	0	-9	-9	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	0	1	-9	-9	0	0	0	-9	0	1	-9	-9	0	1	0	-9	-9	0	1	1	1	1	1	1	0	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	0	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	1
Irish	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	1	1	-9	0	0	0	0	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	1	-9	-9	0	0	0	-9	0	0	0	-9	0	1	0	0	0	0	1	1	1	0	-9	-9	-9	1	-9	-9	-9	0	-9	-9	-9	-9	1	-9	0	-9	-9	0	0	-9	0	1	-9	0	0	-9	-9
Welsh	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	1	1	-9	0	0	0	0	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	1	-9	-9	0	0	0	-9	0	0	0	-9	0	1	0	0	0	0	1	1	1	0	-9	-9	-9	1	-9	-9	-9	0	-9	-9	-9	-9	1	-9	0	-9	-9	0	0	-9	0	1	-9	0	0	-9	-9
Marathi	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	1	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	0	0	-9	0	0	0	0	0	1	-9	-9	0	1	1	-9	1	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Hindi	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	1	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	0	0	-9	0	0	0	0	0	1	-9	-9	0	1	0	-9	1	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Pashto	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	0	0	-9	-9	-9	-9	0	-9	-9	0	-9	-9	0	0	1	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	0	0	-9	0	0	0	0	0	1	-9	-9	0	1	1	-9	0	0	0	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Tamil	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	1	0	0	0	-9	-9	-9	-9	1	0	1	0	0	0	-9	-9	-9	1	0	0	-9	0	0	0	-9	0	1	-9	-9	0	0	-9	-9	0	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1
Telugu	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	1	0	0	0	-9	-9	-9	-9	1	0	1	0	0	0	-9	-9	-9	1	0	0	-9	0	0	0	-9	0	1	-9	-9	0	0	-9	-9	0	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1
Mandarin	0	-9	-9	-9	-9	1	-9	-9	-9	-9	-9	0	-9	-9	1	0	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	1	1	-9	0	1	0	-9	-9	-9	-9	1	-9	-9	1	-9	1	-9	-9	-9	-9	0	0	-9	0	0	0	0	-9	-9	-9	-9	-9	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Cantonese	0	-9	-9	-9	-9	1	-9	-9	-9	-9	-9	0	-9	-9	1	0	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	1	0	-9	0	1	0	-9	-9	-9	-9	1	-9	-9	1	-9	1	-9	-9	-9	-9	0	0	-9	0	0	0	0	-9	-9	-9	-9	-9	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Japanese	1	0	1	0	0	0	-9	0	0	-9	-9	0	-9	-9	0	0	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	0	1	0	-9	-9	-9	-9	1	0	0	1	-9	0	-9	-9	-9	-9	0	0	-9	0	0	0	1	-9	-9	-9	-9	-9	1	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Korean	1	0	1	0	0	0	-9	0	1	-9	-9	0	-9	-9	0	0	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	0	1	0	-9	-9	-9	-9	1	0	0	1	-9	0	-9	-9	-9	-9	0	0	-9	0	0	0	1	-9	-9	-9	-9	-9	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Arabic	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	1	0	1	0	0	0	0	1	-9	-9	0	0	0	1	0	-9	-9	-9	1	0	0	0	0	0	-9	-9	-9	1	-9	-9	-9	0	0	0	-9	1	-9	-9	-9	0	1	0	1	0	0	1	1	0	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9	0	0	0	0	-9	1	0	-9	0	1	-9	1	0	0	1
Hebrew	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	1	0	0	0	0	0	0	0	-9	-9	0	0	0	1	0	-9	-9	-9	1	0	1	0	0	0	-9	-9	-9	1	-9	-9	-9	0	0	0	-9	1	-9	-9	-9	0	1	0	0	0	0	1	1	0	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9	0	0	0	0	-9	1	0	-9	0	1	-9	0	1	1	-9
Hungarian	1	1	1	1	1	-9	1	-9	-9	1	1	0	0	0	1	0	1	-9	-9	0	0	0	-9	0	0	0	-9	-9	0	0	0	1	1	1	1	0	0	-9	-9	0	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	-9	-9	0	0	0	1	1	0	0	-9	-9	0	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	-9	0	-9	-9	-9	-9	-9	1
Khanty	1	1	1	0	1	-9	1	-9	-9	1	1	0	0	0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	0	1	1	1	1	0	0	-9	-9	0	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	-9	-9	0	0	0	1	1	1	-9	-9	-9	0	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1
Estonian	1	1	1	1	1	-9	1	-9	-9	1	1	0	0	0	0	0	0	0	-9	-9	-9	-9	1	-9	-9	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	1	-9	-9	-9	-9	0	0	0	-9	-9	0	0	-9	0	1	0	-9	-9	0	0	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1
Finnish	1	1	1	1	1	-9	1	-9	-9	1	1	0	0	0	0	0	0	0	-9	-9	-9	-9	1	-9	-9	0	-9	-9	0	0	0	1	1	1	0	-9	1	0	0	0	0	0	-9	-9	1	-9	-9	-9	-9	0	0	0	-9	-9	0	0	0	0	1	1	-9	-9	0	0	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1
Mari	1	1	1	1	1	-9	1	-9	-9	1	1	0	0	0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	0	1	1	1	1	0	1	0	-9	0	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	-9	-9	0	0	1	0	1	1	-9	-9	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1
Udmurt	1	1	1	1	1	-9	1	-9	-9	1	1	0	0	0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	0	1	1	1	1	0	1	0	-9	0	0	0	-9	-9	-9	1	-9	-9	-9	0	0	0	-9	-9	0	0	1	0	1	1	-9	-9	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1
Yukaghir	1	1	1	0	1	-9	1	-9	-9	1	1	0	0	0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	1	1	1	0	-9	-9	1	0	0	0	1	1	-9	-9	-9	1	0	0	-9	0	0	0	1	-9	-9	-9	-9	0	0	-9	-9	0	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	1
Even_1	1	1	1	1	1	-9	1	-9	-9	1	1	0	0	0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	1	1	1	1	1	0	1	0	-9	0	0	0	-9	-9	-9	0	-9	-9	-9	0	1	0	0	-9	1	-9	0	0	0	-9	-9	-9	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Even_2	1	1	1	1	1	-9	1	-9	-9	1	1	0	0	0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	1	1	1	1	1	0	1	0	-9	0	0	0	-9	-9	-9	0	-9	-9	-9	0	1	0	0	-9	1	-9	0	0	0	-9	-9	-9	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Evenki	1	1	1	1	1	-9	1	-9	-9	1	1	0	0	0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	1	1	1	1	1	0	1	0	-9	0	0	0	-9	-9	-9	0	-9	-9	-9	0	1	0	0	-9	1	-9	0	0	0	-9	-9	-9	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Yakut	1	1	1	0	1	-9	1	-9	-9	1	1	0	0	0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	1	1	1	1	1	0	1	0	-9	0	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	0	-9	0	0	0	1	0	-9	-9	-9	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Uzbek	1	1	1	0	1	-9	1	-9	-9	1	1	0	0	0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	1	1	1	1	1	0	1	0	-9	0	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	1	-9	-9	-9	0	0	0	-9	-9	-9	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Kazakh	1	1	1	0	1	-9	1	-9	-9	1	1	0	0	0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	1	1	1	1	1	0	1	0	-9	0	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	0	-9	0	0	0	0	0	-9	-9	-9	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Kirghiz	1	1	1	0	1	-9	1	-9	-9	1	1	0	0	0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	1	1	1	1	1	0	1	0	-9	0	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	0	-9	0	0	0	0	0	-9	-9	-9	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Turkish	1	1	1	0	1	-9	1	-9	-9	1	1	0	0	0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	1	1	1	1	1	0	1	0	-9	0	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	0	-9	0	0	0	0	0	-9	-9	-9	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9
Buryat	1	1	1	0	1	-9	1	-9	-9	1	1	0	0	0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	1	1	1	1	0	-9	1	0	1	0	0	0	-9	-9	-9	1	0	0	-9	0	0	0	0	-9	0	0	0	0	0	-9	-9	-9	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	1
Basque_Central	1	1	1	0	1	-9	1	-9	-9	0	-9	0	0	0	0	0	0	0	-9	0	1	0	-9	0	1	-9	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	1	0	-9	-9	0	1	0	0	-9	0	0	0	-9	-9	-9	-9	-9	0	1	1	-9	0	1	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	1	-9	0	0	-9	-9	-9	0	-9	1	-9	-9	-9	-9	-9	-9
Basque_Western	1	1	1	0	1	-9	1	-9	-9	0	-9	0	0	1	0	0	0	0	-9	0	1	1	-9	0	1	-9	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	1	0	-9	-9	0	1	0	0	-9	0	0	0	-9	-9	-9	-9	-9	0	1	1	-9	0	1	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	1	-9	0	0	-9	-9	-9	0	-9	0	-9	-9	-9	-9	-9	1
Wolof	1	1	0	-9	1	-9	1	-9	-9	0	-9	1	1	0	1	0	1	-9	-9	1	-9	1	-9	0	0	-9	-9	-9	0	0	1	1	0	-9	-9	-9	1	-9	-9	1	-9	1	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	-9	-9	-9	0	1	0	1	1	0	1	0	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	0	1	0	-9	-9	0	0	-9	1	-9	0	-9	-9	-9	-9
